text,category
Report ko lng social pension payout schedule Calauag.,social_services
"Ask ko lang po kung may action na, street children rescue kasi dito Carolina.",social_services
Huy pansinin niyo naman to. sumabog ang transformer Cararayan. Nakaka-stress!,utilities
"Kami po ay taga Lerma, report ko lang na daming lamok, gusto sana namin fumigation.",health
HUY PANSININ NIYO NAMAN TO. INFECTIOUS WASTE REPORTED CAROLINA. NAKAKA-STRESS!,waste_management
Help. voyeurism report near the gate of San Francisco. Pls fix.,public_safety
Urgent: walng warning sign s roadwork Abella.,infrastructure
Urgent: penalty for littering inquiry Santa Cruz.,waste_management
Good day. Requesting assistance: cctv camera not working malapit sa NICC Doctors Hospital.,infrastructure
"Lala naman, unannounced water interruption dito malapit sa Fire Station! Ano na??",utilities
Urgent: foundling child report front of Camarines Sur National High School.,social_services
Urgent: cockroach in restaurant Del Rosrio.,sanitation
"Kami po ay taga Dinaga, report ko lang na car accident victim medical help.",health
Good day. Requesting assistance: flood control failure Pacol.,infrastructure
Help. contact tracing update s parking ng Robertson Mall. Pls fix.,health
Formal complaint: jeepney strike stranded located San Felipe.,traffic
Good day. Requesting assistance: brgy hall leaking roof front of Robertson Mall.,infrastructure
Help. styrofoam pollution s parking ng Ago Foundation. Pls fix.,waste_management
"Shoutout dito sa LGU, mausad adjudication office sa tapat ng Magsaysay Food Strip. Please actionan agad.",traffic
We are requesting immediate assistance regarding stray dogs hinahabol people near Tabuco.,health
Pakitignan naman po ang tubig salty taste sa Trangulo. Salamat.,utilities
"Shoutout sa LGU, job order delay salary Lerma. Please actionan agad.",employment
Huy pansinin niyo naman to. slide rusted inside the vicinity of Magsaysay Food Strip. Nakaka-stress!,infrastructure
Urgent: dialysis assistance request along BISCAST.,health
"Kami po ay taga San Francisco, report ko lang na stalker alert.",public_safety
"Parang awa niyo na, may tubig pipe tulo in street sa Bagumbayan.",utilities
Urgent: kidney transplant assistance malapit s Naga College Foundation (NCF).,health
Report ko lng garden waste pickup Del Rosrio.,waste_management
"Grabe naman, plaza tiles broken dito near may Iglesia ni Cristo! Ano na??",infrastructure
"Shoutout sa LGU, leaning electric post front of Basilica Minore. Please actionan agad.",utilities
We are requesting immediate intervention regarding laptop loan for teachers near Abella.,social_services
"Sobra naman, street light flickering on and off dito inside the vicinity of Diversion Road commercial area! Ano na??",utilities
Good day. Requesting assistance: foster care application inside the vicinity of Robertson Mall.,social_services
huy pansinin niyo naman to. air lock in water pipe san felipe. nakaka-stress!,utilities
Good day. Requesting assistance: kuliglig on main road Calauag.,traffic
"pakiusap, may beating the red light sa tabuco.",traffic
Report ko lng indigenous people assistance Tringulo.,social_services
"Kami po ay taga Tinago, report ko lang na rotten wood post.",utilities
"shoutout sa lgu, agency fee exorbitant triangulo. please actionan agad.",employment
"Ask ko lang po kung may action na, underpass flooded kasi dito Panicuason.",infrastructure
Urgent: lying-in clinic closed s likod ng Naga Parochial School.,health
We are requesting immediate assistance regarding street light flickering on and off near Tabuco.,utilities
Humihingi po kami ng saklolo dahil sanitary napkins on street sa inside the vicinity of City Hall.,sanitation
Humihingi po kami ng tulong dahil basurahan full na sa sa likod ng Naga Parochial School.,waste_management
"Tindi naman, free tablet for students dito Triangulo! Ano na??",social_services
Good day. Requesting assistance: need oxygen tank along LTO Naga.,health
I would like to report that bird nest on transformer near prking ng Hall of Justice.,utilities
Huy pansinin niyo naman to. flashing incident Concecion Grande. Nakaka-stress!,public_safety
Formal complaint: broken glass danger located near the gate of Our Lady of Immaculate Conception.,waste_management
I noticed rat peste in market in behind Police Station 1. Hoping for actixn.,sanitation
Pakitignan naman po ang battery disposal bin sa Del Rosario. Salamat.,waste_management
report ko lng dust from construction bagumbayan.,sanitation
Concern: tuberculosis meds out of stock observed in behind LCC Mall. Please investigate.,health
This is a notification about heart center referral situated at front of Deca Homes area.,health
"CONCRNED LANG PO KAMI S MGA BATA, FORCED RESIGNATION BESIDE SAN FRANCISCO CHURCH.",employment
Pakitignan naman po ang maternity leave declined sa Triangulo. Salamat.,employment
Report ko lng termite infested post Pacol.,utilities
"CONCERNED LANG PO KAMI SA MGA BATA, ALCOHOLIC LVER DISEASE HELP DAYANGDANG.",health
Huy pansinin niyo naman to. chicken pox spreading malapit near Vista Mall. Nakaka-stress!,health
"Grabeh naman, swerving violation dito Tabuco! Ano na??",traffic
"Concerned lang po kami sa mga bata, plastic cups clogging drain across Plaza Medica.",sanitation
Formal complaint: barrier broken located front of BISCAST.,infrastructure
We are requesting immediate assistance regarding child abuse shouting near Peñafrancia.,public_safety
Urgent: depression hotline inquiry Cararayan.,health
"Grabe naman, coding scheme inquiry dito Balatas! Ano na??",traffic
Rxport ko lng choking emergency beside Deca Homes area.,health
I would like to report that medicine discount senior inside the vixinity of Triangulo.,social_services
I noticed truck ban exemption in Panicuason. Hoping for action.,traffic
i would like to ipaalam that stolen electric meter across dayangdang.,utilities
"Concerned lang po kami sa mga bata, blood stains on road sa tapat ng Area namin Hall.",sanitation
"Ask ko lang po kung may action na, pwd booklet missing kasi dito San Isidro.",social_services
"Sxoutout sa LGU, looking for summer job for students Balatas. Please actionan agad.",employment
"Shoutout sa LGU, ano oras ang next job fair Concepcion Pequeña. Parang awa niyo na actionan agad.",employment
Urgent: guho ng lupa Abella.,infrastructure
"Tindi naman, mabaho ang mrF dito Mabolo! Ano na??",waste_management
"Shoutout sa LGU, water pump broken Panicuason. Please actionan agad.",utilities
"Grabe naman, leaning electric post dito beside Peñafrancia! Ano na??",utilities
"Grabe naman, missed collection again dito Triangulo! Ano na??",waste_management
Urgent: colorum vehicles operating Liboton.,traffic
Huy pansinin niyo naman to. overgrown weeds hiding trash beside St. John Hospital. Nakaka-stress!,sanitation
Tulong. cannot receive otp across Ago Foundation. Pls fix.,utilities
HUY PANSININ NIYO NAMAN TO. MLNOURISHED KIDS FEEDING SAN FELIPE. NAKAKA-STRESS!,health
I would like to ireport that recycling inquiry beside San Isidro.,waste_management
Formal complaint: no trash bins in plaza located along Bicol Medical Center (BMC).,waste_management
Urgent: faded pedestrian lane markings s likod ng Puregold.,traffic
Report ko lng contact tracing update Mabolo.,health
"Tindi naman, leaking garbage truck juice dito Sabang! Ano na??",sanitation
Kindly examine San Felipe due to rotational brownout reklamo.,utilities
Kindly be informed that there is full na the septic tank at front of Ago Foundation.,sanitation
Good day. Requesting assistance: religious discrimination work near the gate of Naga City Hospital.,employment
"Lala naman, vomit on sidewalk dito malapit sa Civic Center! Ano na??",sanitation
Help. yellow box junction blocked front of St. John Hospital. Pls fix.,traffic
"Concerned lang po kami sa mga bata, crane collapse fear across Metropolitan Cathedral.",public_safety
Formal complaint: cane for blind request located across Brentwood College.,social_services
I would like to file ng complaint that van terminal illegal across Metropolitan Cathedral.,traffic
Huy pansinin niyo naman to. worms in tap water Triangulo. Nakaka-stress!,sanitation
Help. drowning risk in river Igualdad. Pls fix.,public_safety
"Kami po ay taga Lerma, report ko lang na tricycle refusal to convey.",traffic
URGENT: 911 NOT ANSWERING S LIKOD NG TINAGO.,public_safety
Urgent: hospital waste mixed San Felipe.,waste_management
HUY PANSININ NIYO NAMAN TO. PLASTIC CUPS CLOGGING DRAIN LERMA. NAKAKA-STRESS!,sanitation
"ask ko lang po kung may action na, pumping station not working kasi dito calauag.",infrastructure
I would like to report that estero rangers inactive Peñafrancia.,waste_management
"Ask ko lang po kung may action na, octopus connection fire hazard kasi dito inside the vicinity of Fire Station.",utilities
Urgent: overspeeding motorcycle Abella.,traffic
"Shoutout sa LGU, fence collapsed Tinago. Please actionan agad.",infrastructure
Tabang. transport strike update beside Vista Mall. Pls fix.,traffic
This is a notification about signal jammer suspicion located at near Cararayan.,utilities
Kindly investigate Panicuason due to white elephant building.,infrastructure
Nais ko pong ipagbigay alam na tree branches hitting wire sa San Isidro.,infrastructure
"Ask ko lang po kung may action na, investment scam kasi dito near the gate of San Francisco Church.",public_safety
Report ko lng summer job application form inside the vicixity of Dinaga.,employment
"Kami po ay taga sa parking ng NICC Doctors Hospital, raise ng concern ko lang na illegal jumper connection report.",utilities
Good day. Requesting assistance: tree branches hitting wire Mabolx.,infrastructure
Sumbong ko lng child labor report malapit s Ago Foundation.,employment
Kelan po maaayos ang mobile data slow sa Igualdad?,utilities
I noticed 4ps beneficiary tanong in Sabang. Hoping for action.,social_services
Report ko lng cracked concrete pavement near the gate of Unitop.,infrastructure
Help. pneumonia vaccine inquiry front of Hall of Justice. Pls fix.,health
"Grabe naman, may putol na kable sa daan dito inside the vicinity of Hall of Justice! Ano na??",utilities
I would like to report that truck hit wire San Felipe.,utilities
"Shoutout sa LGU, medical mission request sa may LTO Naga. Please actionan agad.",health
i would like to report that fake id usage igualdad.,public_safety
I noticed handling food with bare hands in San Felipe. Hoping for action.,sanitation
"Ask ko lang po kung may action na, internet slow speed kasi dito Sabang.",utilities
"shoutout sa lgu, open manhole danger sa may carmelite monastery. please actionan agad.",infrastructure
Good day. Requesting assistance: dole complaint filing sa tapat ng Naga College Fxundation (NCF).,employment
Help. vawc desk assistance needed Liboton. Pls fix.,social_services
Huy pansinin niyo naman to. insulin for diabetes unavailable sa likod ng Baranay Hall. Nakaka-stress!,health
"Ask ko lang po kung may action na, flashing incident kasi dito across Tinago.",public_safety
Please be informed that there is monitor lizard in ceiling at near University of Nueva Caceres (UNC).,public_safety
Good day. Requesting assistance: lost id replacement process near likod ng San Francisco Church.,social_services
"Concerned lang po kami sa mga bata, flood control failure near the gate of BISCAST.",infrastructure
Please be informed that thxre is 4ps beneficiary tanong at front of Metropolitan Cathedral.,social_services
Report ko lng birthday cash gift for senior along Peñafrancia Shrine.,social_services
We are requesting immediate help regarding flood in street near Igualdad.,infrastructure
I would like to report that slide rusted Concepcion Pequeña.,infrastructure
Good day. Requesting assistance: road rage incident report near parking ng Basilica Minore.,traffic
"Concerned lang po kami sa mga bata, u-turn violation across Ago Foundation.",traffic
Formal complaint: wasting water car wash located sa may Mabolo.,utilities
Kindly look into in front of San Isidro due to very dark of eskinita.,public_safety
GOOD DAY. REQUESTING ASSISTANCE: BASURA PATROL IPAALAM INSIDE THE VICINITY OF ST. JOHN HOSPITAL.,waste_management
I would like to report that plaza tiles broken San Francisco.,infrastructure
"Ask ko lang po kung may axtion na, fainting incident in public kasi dito Sabang.",health
Good day. Requesting assistance: cow dung scattering beside LTO Naga.,sanitation
"Shoutout sa LGU, poultry fly infestation acros Bicol Medical Center (BMC). Please actionan agad.",sanitation
"Concerned lang po kami sa mga bata, holiday pay not given Panicuason.",employment
Report ko lng human trafficking suspicion across Metropolitan Cathedral.,public_safety
Kindly be infomed that there is illegal parking in street at Tabuco.,traffic
Report ko lng budol-budol gng near the gate of Tinago.,public_safety
Huy pansinin niyo naman to. scavengers scattering trash malapit s Naga City People's Mall. Naaka-stress!,waste_management
Huy pansinin niyo naman to. hospital waste mixed with trash Bagumbayan. Nakaka-stress!,sanitation
Report ko lng mabaho ng poultry along Naga Imaging Center.,sanitation
Huy pansinin niyo naman to. illegal parking sa kalsada Liboton. Nakaka-stress!,traffic
humihingi po kami ng ayuda dahil solo parent scholarship sa dinaga.,social_services
Formal complaint: river cleanup request located Igualdad.,waste_management
Sumbong ko lng supplemental feedig program Lerma.,social_services
I would like to report that historical marker missing Peñafrancia.,infrastructure
We are requesting immediate assistance regarding paternity leave refused near Balatas.,employment
"I would like to report that not working ang tulay, delikado sa likod ng Carmelite Monastery.",infrastructure
Good day. Requesting assistance: yellow card renewal sa parking ng LTO Naga.,health
concern: poisoning emergency observed in balatas. please investigate.,health
"Pakiusap, may sanitize waiting shed sa San Felipe.",sanitation
"shoutout near lgu, illegal dismissal complaint abella. parang awa niyo na actionan agad.",employment
Help. unpaid overtime pay beside Naga Imaging Center. Pls fix.,employment
Report ko lng lpg explosion dnger Dayngdng.,public_safety
"SHOUTOUT NEAR LGU, RADIOACTIVE MATERIAL SUSPICION BAGUMBAYAN. PXEASE ACTIONAN AGAD.",public_safety
Huy pansinin niyo naman to. pagtapon ng basura dito sa ilog near the gate of Magsaysay Food Strip. Nakaka-stress!,waste_management
"Grabe naman, senior citizen employment dito Tabuco! Ano na??",employment
Help. grease trap overflow Mabolo. Pls fix.,sanitation
Good day. Requesting assistance: mabaho ung poultry sa parking ng Bicol Medical Centr (BMC).,sanitation
"Ask ko lang po kung may action na, walang tubig simula kanina kasi dito Igualdad.",utilities
"Shoutout sa LGU, stroke victim needs transport sa likod ng Fire Statixn. Please actionan agad.",health
Huy pansinin niyo naman to. pwd ramp blocked Dayangdang. Nakaka-stress!,traffic
"Tindi naman, shocking electricity bill amount dito s likod ng Naga Parochial School! Ano na??",utilities
I am writing to formally inform you about trash clogging in drainage in Concepcion Pequeña.,waste_management
Help. tapon basura kahit san Cararayan. Pls fix.,waste_management
Urgent: community service inquiry Liboton.,social_services
Alert: encroachment on sidewalk detected at near Dayangdang.,infrastructure
I would like to report that hiring ba ng security guard Calauag.,employment
"Concerned lang po kami sa mga bata, flood control failure sa parking ng Concepcion Grande.",infrastructure
I would like to report that diaper disposal problem Carolina.,waste_management
Kailan po maaayos ang curfew paglabag of the minor sa sa tapat ng Concepcion Pequeña Elementay School?,public_safety
I would like to report that market stall dirty Peñafrancia.,sanitation
Huy pansinin niyo naman to. overcrowding violation inside the vicinity of Camarines Sur National High School. Nakaka-stress!,public_safety
Kailan po maaayos ang fake id usage sa beside Tiangulo?,public_safety
This is a notification about how get of pwd id happening at along City Healh Office.,social_services
i would like to report that composting facility foul odor concepcion pequeña.,waste_management
Report ko lng fake id usge San Felipe.,public_safety
Good day. Requesting assistance: budget for road missing sa tapat ng Bagumbayan.,infrastructure
"Ask ko lang po kung may action na, fire hydrant blocked parking kasi dito Balatas.",traffic
Good day. Requesting assistance: kidney transplant assistance sa likod ng Unitop.,health
We are requesting help with single use plastic paglabag around near Puregold.,waste_management
"Shoutout sa LGU, pedicab on highway beside Naga Imaging Center. Please actionan agad.",traffic
Report ko lng contract of service issue San Isidro.,employment
Huy pansinin niyo naman to. sobrang hina ng signal Igualdad. Nakaka-stress!,utilities
Alert: wasting tubig car wash detected at Concepcion Pequeña.,utilities
Urgent: car on bike lane near the gate of San Francisco Church.,traffic
"Shoutout near LGU, gender development program Del Rosario. Sana actionan agad.",social_services
"Pakiusap, may pinaayos request sa sa parking ng Metro Health.",infrastructure
Urgent: service incentive leave denied Calauag.,employment
"Shoutout dito sa LGU, voter registration schedule Dinaga. Pls actionan agad.",social_services
File ng complaint ko lng age limit in hiring s tapat ng Puregold.,employment
Good day. Requesting assistance: resume writing assistance Abella.,employment
"ASK KO LANG PO KUNG MAY ACTION NA, PATERNITY LEAVE REFUSED KASI DITO PEÑAFRANCIA.",employment
I would like to report that vomit on sidewalk Pacol.,sanitation
"Grabe naman, emergency hotline busy dito along Concepcion Grande! Ano na??",public_safety
Pakitignan naman po ang asthma attacks due to dust sa Dayangdang. Salamat.,health
"Report ko lng daming lamok, need fumigation Carolina.",health
Huy pansinin niyo naman to. cleaning of public park sa parking ng Barangay Hall. Nakaka-stress!,sanitation
HUY PANSININ NIYO NAMAN TO. FIRE EXTINGUISHER MISSING DEL ROSARIO. NAKAKA-STRESS!,public_safety
Urgent: dirty fingernails server Tinago.,sanitation
Ireport ko lng illegal parking s kalsda Concepcion Grande.,traffic
urgent: tanod sleeping on duty near the gate of naga city science high school.,public_safety
Maari po bang aksyunan ang police response slow dito sa sa parking ng Naga College Foundation (NCF).,public_safety
"Concerned lang po kami sa mga bata, asthma attacks due to dust Calauag.",health
Report ko lng walng segregation poliy Concepcion Pequeña.,waste_management
Huy pansinin niyo naman to. job order delay salary Carolina. Nakaka-stress!,employment
"Concerned lang po kami sa mga bata, styrofoam waste blocking flow Balatas.",sanitation
Help. mnwd water interruption Balatas. Pls fix.,utilities
"Ask ko lang po kung may action na, deworming schedule kasi dito along Naga City People's Mall.",health
Huy pansinin niyo naman to. pwd employment quota Santa Cruz. Nakaka-stress!,employment
I would like to report that wheelchair donation request sa likod ng Bicol Medical Center (BMC).,social_services
"Tulungan niyo kami sa sa may Barangay Hall, mendicancy law paglabag.",social_services
"Shoutout dito sa LGU, illegal tapping of water Liboton. Please actionan agad.",utilities
Humihingi po kami ng tuxong dahil substandard kalsada project sa Santa Cruz.,infrastructure
I would like to report that dialysis asxistance request Triangulo.,health
"Grabe naman, snake bite emergency dito Mabolo! Ano na??",health
Ireklamo ko lang po ang sexual harassment in public sa may malapit sa Lerma.,public_safety
"Kami po ay taga Peñafrancia, report ko lang na alcoholic liver disease tulong.",health
"Ask ko lang po kung may action na, work from home scam kasi dito Tinago.",employment
Good day. Requesting assistance: maggots in garbage pile front of Mother Seton Hospital.,sanitation
"Grabe naman, transport strike update dito across St. John Hospital! Ano na??",traffic
Good day. Requesting assistance: guy wire dangerous Concepcion Grande.,utilities
Formal complaint: choking emergency located Del Rosario.,health
"Grabe namxn, free vitamins for seniors dito Igualdad! Ano na??",health
"ask ko lang po kung may action na, food pack distribution kasi dito san francisco.",social_services
Kailan po maaayos ang smoke belching truck sa Cararayan?,traffic
good day. requesting assistance: tapon basura kxhit saan calauag.,waste_management
Urgent: illegal tapping of water across Robinsons Place.,utilities
Please be informed that there is dumi of dog in sidewalk at near St. John Hospital.,sanitation
Urgent: falling tree branch s tapat ng Carmelite Monastery.,public_safety
"Grabe naman, may nakagat ng aso dito Santa Cruz! Ano na??",health
Sumbong ko lang po ang termite infested post sa may Dayangdang.,utilities
"Concerned lang po kami sa mga bata, street name painted over sa may San Francisco Church.",infrastructure
Urgent: food pack distribution San Isidro.,social_services
"Tulungan niyo kami sa inside the vicinity of Our Lady of Immaculate Conception, no hairnet food server.",sanitation
"Ask ko lang po kung may action na, diaper disposal problem kasi dito Del Rosario.",waste_management
"Concerned lang po kami sa mga bata, baha near kalsada Santa Cruz.",infrastructure
"Shoutout sa LGU, stagnant water in tires Igualdad. Pls actionan agad.",sanitation
"Concerned lang po kami sa mga bata, malasakit center requirements Igualdad.",health
"Concerned lang po kami sa mga bata, puj phaseout concern Bagumbayan.",traffic
Formal complaint: fire exit locked located inside the vicinity of Tinago High School.,public_safety
Kindly check in front of SM City Naga due to crosswalk blocked.,traffic
I would like to report that muslim community help near the gate of Panicuason.,social_services
"Concerned lang po kami sa mga bata, poaching of employees malapit sa Tabuco.",employment
I wouxd like to ipaalam that terminal flooring broken Concepcion Pequeña.,infrastructure
Huy pansinin niyo naman to. work from home scam Cararayan. Nakaka-stress!,employment
"Kami po ay taga Peñafrancia, report ko lang na recyclable collection schedule.",waste_management
"Kami po ay taga San Felip, raise ng concern ko lang na tribal hall request.",social_services
"Ask ko lang po kung may action na, walang tubig simula kanina kasi dito along Metropolitan Cathedral.",utilities
Formal complaint: prime water complaint located Calauag.,utilities
Please be informed that there is colorum vehicles operating at inside the vicinity of Robinsons Place.,traffic
"Kami po ay taga sa likod ng Capitol, report ko lang na bad smell from piggery.",sanitation
"Sobra naman, night differential missing dito Panicuason! Ano na??",employment
Nais ko pong ipagbigay alam na terminal flooring sira sa Abella.,infrastructure
Raise ng concern ko lng open dumpsite smell Concepcion Pequeña.,waste_management
"Kami po ay taga Dinaga, report ko lang na akyat bahay incident report.",public_safety
Report ko lng proshetic leg help front of St. John Hospital.,social_services
I would like to file ng complaint that e-trike regulation Santa Cruz.,traffic
Report ko lng philhealth coverage inquiry San Felipe.,health
"Grabe naman, flies from dumpsite dito Peñafranci! Ano na??",waste_management
Good day. Requesting assistance: drug rehabilitation referral ixside the vicinity of Magsaysay Food Strip.,social_services
"Ask ko lang po kung may action na, social pension payout schedule kasi dito Cararayan.",social_services
"Shoutout loc: LGU, kidnapping attemxt malapit sa Metropolitan Cathedral. Please actionan agad.",public_safety
Nais ko pong ipagbigay alam na muffler loud noise sa beside Carmelite Monastery.,traffic
"concerned lang po kami sa mga bata, 911 not answering front of concepcion pequeña.",public_safety
GOOD DAY. REQUESTING ASSISTANCE: CROSSWALK BLOCKED ABELLA.,traffic
Formal complaint: barangay hall leaking roof located Igualdad.,infrastructure
"Ask ko lang po kung may action na, missing person report kasi dito Lerma.",public_safety
"Shoutout dito sa LGU, sanitize waiting shed Lerma. Please actionan agad.",sanitation
This is a notification about sanitary permit for food occurring at along Naga City Science High School.,health
Formal complaint: taxi meter not used located Cararayan.,traffic
"Kami po ay taga Liboton, report ko lang na domestic violence sounds.",public_safety
"Ask ko lang po kung may acxion na, car accident victim medical help kasi dito Triangulo.",health
I would like to report that child abuse shouting Abella.,public_safety
Urgent: summer job application form San Francisco.,employment
"Kami po ay taga Concepcion Grande, report ko lang na swab test schedule.",health
"Shoutout sa LGU, coding scheme inquiry Liboton. Sana actionan agad.",traffic
Sumbong ko lang po ang pldt down no sexvice sa may San Francisco.,utilities
huy pansinin niyo naman to. police response slow malapit sa peñafrancia shrine. nakaka-stress!,public_safety
"Ask ko lang po kung may action na, night differential missing kasi dito beside Iglesia ni Cristo.",employment
I would like to report that gunshots heard along Tabuco.,public_safety
Huy pansinin niyo naman to. jeepney strike stranded sa tapat ng Peñafrancia Shrine. Naxaka-stress!,traffic
Huy pansinin niyo naman to. certificate of employment withheld Triangulo. Nakaka-stress!,employment
"ASK KO LANG PO KUNG MAY ACTION NA, UTILITY POLE OBSTRUCTION KASI DITO CARARAYN.",utilities
Good day. Requesting assistance: tapon basura kahit saan Carolina.,waste_management
Assist. terrorist suspicion Abella. Pls fix.,public_safety
Huy pnsinin niyo naman to. cash for work payout antagal inside the vicinity of City Hall. Nakaka-stress!,employment
We are requesting immediate support regarding submerged the street near inside the vicinity of Robertson Mall.,infrastructure
Humihingi po kami ng tulong dahil tubig tank leaking sa sa tapat ng City Health Office.,utilities
Good day. Requesting assistance: tampered seal meter Sabang.,utilities
"Kami po ay taga Liboton, ipaalam ko lang na insulator broken.",utilities
I would like to report that walang garbage collector personnel Balatas.,waste_management
Ipaalam ko lng silt in river mxlapit s Hall of Justice.,sanitation
Report ko lng snitary napkins on street Carolina.,sanitation
Kailan po maaayos ang financial aid for poor students sa near the gate of Naga Imaging Center?,social_services
"Grabe naman, endo contract renewal dito Cararayan! Ano na??",employment
"Kami po ay taga Calauag, ipaalam ko lang na yellw card renewal.",health
Report ko lng foundling child report near the gate of Naga City Hospital.,social_services
Huy pansinin niyo naman to. sira ang bubong ng waiting shed Lerma. Nakaka-stress!,infrastructure
"Shoutout sa LGU, stage renovation reqest malapit dito sa Dayangdang. Please actionan agad.",infrastructure
Ipaalam ko lng humps masyadong mataas Peñafrancia.,infrastructure
"Concerned lang po kami sa mga bata, puj phaseout concern Del Rosario.",traffic
I would like to report that calamity loan inquiry inside the vicinity of Bicol Medical Center (BMC).,social_services
Help. waste picker complaint Concepcion Pequeña. Pls fix.,waste_management
"Lala naman, harassment in workplace dito near the gate of Gaisano Mall! Ano na??",employment
Help. heart attack emergency beside SM City Naga. Pls fix.,health
Good day. Requesting assistance: polio vaccine availability across Hall of Justice.,health
"Ask ko lang po kung may action na, budget for road missing kasi dito inside the vicinity of City Hall.",infrastructure
"SHOUTOUT S LGU, PHILHEALTH COVERAGE INQUIRY ALONG CAMARINES SUR NATIONAL HIGH SCHOOL. PLEASE ACTIONAN AGAD.",health
"Tindi naman, philhealth coverage inquiry dito sa parking ng Naga City People's Mall! Ano na??",health
REKLAMO KO LNG COUNTER-FLOW NA TRICYCLE MALAPIT S NAGA CITY SCIENCE HIGH SCHOOL.,traffic
"Shoutout near LGU, child abuse shouting malapit near Naga College Foundation (NCF). Please actionan agad.",public_safety
GOOD DAY. REQUESTING ASSISTANCE: WALANG TUBIG SIMULA KANINA BESIDE SANTA CRUZ.,utilities
May problema sa Lerma: unfinished government building.,infrastructure
Helppp. hair in food complaint s parking ng Police Station 1. Pls fix.,sanitation
"Shoutout sa LGU, basketball court sira ring malapit sa San Isidro. Please actionan agad.",infrastructure
Huy pansinin niyo naman to. escalator accident Tinago. Nakaka-stress!,public_safety
This is a notification about child labor sumbong located at Tinago.,employment
"Grabe naman, octopus connection fire hazard dito near may Our Lady of Immaculate Conception! Ano na??",utilities
Good day. Requesting assistance: pharmacy ran out of paracetamol beside Capitol.,health
pakitignan naman po ang double parking in main kalsada sa beside camarines sur national high school. salamat.,traffic
